qid,question,gold_doc_id,ideal_answer,gold_evidence_text,gold_evidence_char_start,gold_evidence_char_end,topic
q_00bded640e,"Какие признаки помогут доказать, что заявление о переходе в НПФ не подписывалось клиентом?",d_a3ea97ebfc,"Застрахованное лицо обнаружило в договоре неверные паспортные данные и подпись, визуально отличающуюся от его подписи, а заявление о переходе было нотариально заверено и направлено через другой регион, где лицо в спорный период не находилось. Эти обстоятельства используются как фактическая связка для довода об отсутствии волеизъявления и недействительности договора ОПС.","ере….. руб., а также компенсацию морального вреда в размере …..руб.
Свои исковые требования истец мотивирует тем, что …. года между ней и АО «НПФ Сбербанка» был заключен договор об обязательном пенсионном страховании № ….., однако ….. года из телефонного разговора с представителем данного НПФ истцу стало известно о прекращении указанного договора. При обращении в ПФР г. ….. истцу сообщили о том, что средства её пенсионных накоплений были переведены из ПФР в АО «НПФ «БУДУЩЕЕ», в связи с заключенным между ней и данным страховщиком договором об обязательном пенсионом страховании. Получив копию договора об обязательном пенсионном страховании № …… от ….. года, заключенного между АО «НПФ «БУДУЩЕЕ» и истцом, ФИО установила, что в данном договоре неверно указаны данные её паспорта: неверный код подразделения и орган, выдавший паспорт, а также проставлена подпись от её имени, визуально отличающаяся от её подписи. Истцу стало известно, что уведомление о заключении с ней договора об обязательном пенсионом страховании АО «НПФ «БУДУЩЕЕ» направило в ПФР ….. ….. года, а заявление от имени истца от ….. года № ….. заверено нотариусом г. ….. ФИО и направлено через ОПФР г. Москвы и Московской области, однако истица в указанный период времени не была в данных населенных пунктах. Истица указывает, что никаких заявлений застрахованного лица о переходе в НПФ истцом не подавались, поручений удостоверяющему центру на выпуск электронной подписи для подписания таких заявлений также не подавалось, договор об обязательном пенсионном страховании с ответчиком АО «НПФ «БУДУЩЕЕ» истица не заключала, и данная сделка была совершена мошенническим путем в отсутствие волеизъявления истца.
Истец ФИО в судебное заседание явилась, исковые требования с учетом уточнений поддержала в полном объёме, просила их удовлетворить.
Представитель ответчика АО «НПФ «БУДУЩЕЕ» по доверенности ФИО в судебное заседание явилась, с исковыми требованиями не согласилась, просила отказать в их удовлетворении по основаниям, изложенным в письменных возражениях на исковое заявление, указывая, что истцом не представлено достаточно",1384,3485,переход в НПФ / недействительность волеизъявления
q_00e266e75e,"Что происходит с договором ОПС при реорганизации НПФ, если застрахованное лицо не перешло к другому страховщику?",d_addeb51081,"Если застрахованное лицо не использовало право перейти в другой НПФ или в ПФР во время реорганизации присоединяемого фонда, оно становится застрахованным лицом присоединяющего фонда без заключения нового договора. Для фонда это аргумент против позиции, что сама реорганизация требует нового договора ОПС.","пунктом 2 статьи 36.6-1 настоящего Федерального закона (п.17 ст.33 ФЗ № 75-ФЗ).
Передача средств пенсионных накоплений застрахованных лиц осуществляется после того, как в ЕРГЮЛ вносится запись о ликвидации присоединяемого фонда и запись о реорганизации присоединяющего фонда, указанные записи вносятся в ЕГРЮЛ после получения фондами решения Банка России о согласовании проведения реорганизации фонда (фондов), которое принимается одновременно с решением о государственной регистрации изменений, вносимых в устав фонда, к которому осуществляется присоединение фонда (фондов), о регистрации изменений в пенсионные и страховые правила фонда, к которому осуществляется присоединение (п.41-47 ст.33 ФЗ № 75-ФЗ).
Таким образом, если застрахованные лица не воспользовались предоставленным им правом и не перешли в другой негосударственный пенсионный фонд или в Пенсионный фонд Российской Федерации во время реорганизации присоединяемого фонда, они становятся застрахованными лицами присоединяющего фонда без заключения новых договоров.
Представитель ответчика указывает, что *** г. в адрес ФИО направлены уведомления о реорганизации от НПФ «Европейский пенсионный фонд» (АО) и от АО НПФ «Сафмар», рассылка осуществлялась ЗАО «ГК Аккорд» в соответствии с договором об оказании услуг № *** от *** г. и ООО «Простые письма» в соответствии с договором № *** от *** г., в обоснование чего в материалы дела представлены копии указанных договоров, а также письма в адрес истца, из которых следует, что направлялись данные письма по адресу, указанном истцом в договоре, заключенном с НПФ «Европейский пенсионный фон",7333,8934,статус застрахованного лица и пенсионные основания
q_00f5b94cd8,"Какие факты помогли фонду убедить суд, что переход был осознанным выбором клиента?",d_a9a59816ed,"Да, при недоказанности порока воли: суд отказал в иске, сославшись на соблюдение порядка, нотариальное удостоверение заявления и договора и непредставление истцом доказательств порока воли (ст. 56 ГПК). Производные требования (передача средств предыдущему НПФ, расходы) отклонены вслед за основным.","заявление истца и оспариваемый договор были проверены, удостоверены нотариусом и приняты в качестве надлежащих документов, осуществлен перевод денежных средств из одного НПФ в другой НПФ, при этом истцом не доказано наличие порока воли при заключении договора, в нарушение требований ст. 56 ГПК РФ, суд не находит оснований для удовлетворения заявленных исковых требований о признании недействительными договора об обязательном пенсионном страховании.",17429,17880,переход в НПФ / недействительность волеизъявления
q_011d633f6b,"Куда направляются пенсионные накопления умершего, если никто из надлежащих правопреемников не обратился за выплатой?",d_68874c6ad6,При отсутствии обращений надлежащих правопреемников средства пенсионных накоплений умершего застрахованного лица передаются в соответствующей доле в резерв действующего страховщика по обязательному пенсионному страхованию. В документе это связывается с п. 25 Правил выплаты.,"оре об обязательном пенсионном страховании или в заявлении застрахованного лица о распределении средств пенсионных накоплений.
В этой ситуации в случае обращения правопреемников по закону с заявлением о выплате пенсионных накоплений фонд в соответствии с пп. «а» п. 19 Правил выносит решение об отказе в выплате средств пенсионных накоплений и уведомляет об этом обратившихся лиц.
Средства пенсионных накоплений умершего застрахованного лица в случае отсутствия обращений кого-либо из надлежащих правопреемников подлежат передаче в соответствующей доле в резерв действующего страховщика по обязательному пенсионному страхованию (п. 25 Правил).
Истец приходится матерью фио. 
фио в п. 25 Договора указала правопреемника – фио, паспортные данные - 100%.
фио приходился фио супругом, между тем, 30.07.2014 года брак был расторгнут, что подтверждается свидетельством о расторжении брака. Каких-либо иных сведений или документов в отношении фио суду не представлено.
Умершее застрахованное лицо не составляло заявлений о распределении средств пенсионных накоплений и не менял круг правопреемников. Право на выплату средств пенсионных накоплений имеет правопреемник по договору об обязательном пенсионном страховании - фио, паспортные данные. 
Учитывая изложенное, суд приходив к выводу о том, что истец не имеет права на выпл",9161,10481,правопреемство / наследование
q_01a939bd58,"Возражаем против иска: переход оформлял посредник, истец ссылается на обман. Что нужно доказать об осведомлённости фонда для применения ст. 179 ГК?",d_1e525dd61f,"Позиция по ч. 2 ст. 179 ГК: сделка под влиянием обмана третьим лицом недействительна, если другая сторона знала или должна была знать об обмане; считается, что знала, если обманувший - её представитель/работник или содействовал ей. Применимо к спорам, где вводил в заблуждение агент НПФ.","Сделка, совершенная под влиянием обмана потерпевшего третьим лицом, может быть признана недействительной по иску потерпевшего при условии, что другая сторона либо лицо, к которому обращена односторонняя сделка, знали или должны были знать об обмане. Считается, в частности, что сторона знала об обмане, если виновное в обмане третье лицо являлось ее представителем или работником либо содействовало ей в совершении сделки",11581,12002,переход в НПФ / недействительность волеизъявления
q_01f70448ab,"Зачем фиксировать в деле, что истцу предлагали экспертизу, оплату и дачу образцов подписи?",d_1f74238452,"Полезно фиксировать, что истцу предложили обсудить назначение экспертизы, выразить позицию, сообщить о возможности оплаты, явиться в заседание или представить нотариально заверенные экспериментальные образцы подписи. В документе именно отсутствие позиции, неявка и непредставление образцов стали основой для вывода об уклонении.","оцессе рассмотрения дела вопросов, требующих специальных знаний в различных областях науки, техники, искусства, ремесла, суд назначает экспертизу. Проведение экспертизы может быть поручено судебно-экспертному учреждению, конкретному эксперту или нескольким экспертам.
Установление подлинности подписи лица в договоре не входит в компетенцию суда, поскольку требует специальных познаний в области почерковедения, которыми обладают эксперты в специальных экспертных учреждениях, осуществляющих исследование почерка на предмет его соответствия представленному образцу.
В этой связи, в целях правильного, законного разрешения спора по существу, судом было предложено истцу обсудить вопрос о назначении судебной почерковедческой экспертизы, выразить позицию по поводу её назначения и возможности оплаты, а также готовности представить свободные и экспериментальные образцы своей подписи, для чего истцу было предложено явиться в судебное заседание либо представить экспериментальные образцы почерка, заверенные нотариально.
В ответ на запрос суда истец ФИО в электронном письме от ….. года свою позицию относительно назначения судебной почерковедческой экспертизы не изложил, данный вопрос оставил без внимания.
Последствия уклонения от проведения экспертизы, предусмотренные ч. 3 ст. 79 ГПК РФ, были разъяснены судом истцу в письме, направленном в его адрес, что является надлежащим разъяснением, согласно правовой позиции, изложенной в «Обзоре судебной практики по применению законодательства, регулирующего назначение и проведение экспертизы по гражданским делам», утвержденном Президиумом Верховного Суда РФ 14 декабря 2011 года.
Несмотря на подробное разъяснение истцу судом его прав и обязанностей, предусмотренных законом, а также вопреки требованию о явке в суд, на момент рассмотрения дела по существу истцом суду не представлены экс",13190,15027,доказательства / почерковедческая экспертиза
q_02a27334fe,"Передаются ли предыдущему страховщику средства, направленные на формирование собственных средств фонда? Нужен пример, где суд обязал передать и их.",d_cc4fd16867,"Да, при недействительности договора суд обязал фонд передать в ПФР накопления, проценты по ст. 395 ГК и средства, направленные на формирование собственных средств фонда (из дохода от инвестирования накоплений) - в порядке п. 5.3 ст. 36.6 ФЗ-75.","удовлетворить частично.
Признать недействительным договор об обязательном пенсионном страховании № ….. от …… года, заключенный между ФИО и АО «НПФ «БУДУЩЕЕ».
Обязать АО «НПФ «БУДУЩЕЕ» в срок не позднее …. дней со дня получения решения суда передать в ПФ РФ средства пенсионных накоплений ФИО, а также проценты за неправомерное пользование средствами пенсионных накоплений ФИО",15000,15375,инвестиционный доход и денежные расчеты
q_02f13e5457,Не успеваем устранить недостатки иска в установленный срок. Продлит ли суд назначенный срок (ст. 111 ГПК)?,d_9d7c376f06,"Назначенные судом процессуальные сроки могут быть продлены (ст. 111 ГПК); суд продлил срок устранения недостатков, учтя отсутствие сведений о получении истцом определения. Полезно, чтобы спасти иск от возврата при пропуске срока исправления.","Согласно статье 111 ГПК РФ, назначенные судом процессуальные сроки могут быть продлены судом.",4697,4790,процессуальные определения по движению иска
q_032dbe642a,"Подбери практику, где при недействительности договора ОПС суд обязал восстановить удержанный при досрочном переходе инвестиционный доход застрахованного лица.",d_aee4be7cac,"Дело, где последствием недействительности признана обязанность восстановить на лицевом счёте застрахованного удержанный при досрочном переходе инвестиционный доход (за период действия договора). Полезно для требования о восстановлении инвестдохода, а не только накоплений.",является обязанность ПФР восстановить на индивидуальном лицевом счете истца удержанный при досрочном переходе инвестиционный доход за 2016 – 2017 г.г.,4818,4968,инвестиционный доход и денежные расчеты
q_0340ac3726,Что именно новый фонд обязан передать ВЭБ УК после признания договора ОПС недействительным?,d_a99e2c01f3,"В этом акте зафиксирован специальный денежный блок последствий недействительности: фонд обязан в течение 30 дней передать в ВЭБ УК проценты за неправомерное пользование пенсионными накоплениями по ст. 395 ГК РФ, а также средства, направленные на формирование собственных средств фонда за счет доходов от инвестирования накоплений застрахованного лица, в порядке п. 5.3 ст. 36.6 Закона N 75-ФЗ.","94 ГПК РФ суд полагает возможным удовлетворить требования истца о взыскании с ответчика наименование организации в пользу истца фио транспортных расходов в размере сумма, признавая данные расходы необходимыми для истца и не превышающими разумных пределов.
На основании изложенного и руководствуясь ст. 194-198 ГПК РФ, суд
Исковые требования – удовлетворить частично.
Признать недействительным договор об обязательном пенсионном страховании № от дата, заключенный между фио и наименование организации.
Обязать наименование организации в срок не позднее 30 дней со дня получения решения суда передать в ВЭБ УК проценты за неправомерное пользование средствами пенсионных накоплений фио, определяемые в соответствии со статьей 395 Гражданского кодекса Российской Федерации, и средства, направленные на формирование собственных средств фонда, сформированные за счет доходов от инвестирования средств пенсионных накоплений соответствующего застрахованного лица, в порядке, предусмотренном п. 5.3 ст. 36.6 Федерального закона от дата № 75-ФЗ «О негосударственных пенсионных фондах».
Обязать наименование организации прекратить обработку персональных данных фио.
Обязать ВЭБ УК в срок не позднее 30 дней со дня получения соответствующего решения суда зачислить на пенсионный счет фио из резерва по обязательному пенсионному страхованию инвестиционный доход в размере сумма
Взыскать с наименование организации в пользу фио расходы по оплате государственной пошлины в размере сумма, транспортные расходы в размере сумма
В удовлетворении остальной части исковых требований – отказать.
Решение может",27689,29276,инвестиционный доход и денежные расчеты
