doc_id,text
d_006815a5ef,"Судья Мещанского районного суда адрес ФИО, ознакомившись с исковым заявлением ФИО к адрес «Достойное Будущее» о восстановлении срока для обращения с заявлением о выплате средств пенсионных накоплений умершего застрахованного лица,

УСТАНОВИЛ:
В Мещанский районный суд адрес поступило исковое заявление ФИО к адрес «Достойное Будущее» о восстановлении срока для обращения с заявлением о выплате средств пенсионных накоплений умершего застрахованного лица.
Вместе с тем, указанное исковое заявление не может быть принято к производству суда.
Пунктом 4 ч.1 ст.135 ГПК РФ предусмотрено, что судья возвращает исковое заявление в случае, если исковое заявление не подписано или исковое заявление подписано и подано лицом, не имеющим полномочий на его подписание и предъявление в суд.
Как усматривается из заявления, оно не подписано истцом,
При таких обстоятельствах, данное исковое заявление подлежит возврату.
Данное обстоятельство не препятствует повторной подаче подписанного надлежащим лицом заявления.
На основании изложенного, руководствуясь положениями статьи 135 ГПК РФ, суд

ОПРЕДЕЛИЛ:
Исковое заявление ФИО к адрес «Достойное Ббдущее» о восстановлении срока для обращения с заявлением о выплате средств пенсионных накоплений умершего застрахованного лица – возвратить истцу.
Возвращение искового заявления не препятствует повторному обращению истца в суд с иском к тому же ответчику, о том же предмете и по тем же основаниям, если истцом будет устранено допущенное нарушение.
На определение может быть подана частная жалоба в Московский городской суд через Мещанский районный суд адрес в течение 15 дней.
Судья ФИО
РОССИЙСКАЯ ФЕДЕРАЦИЯ
Мещанский
районный суд
тел. телефон -74
М - 5087/2024
ФИО
Мещанский районный суд адрес направляет в Ваш адрес определение о возвращении искового заявления от 17.04.2024 года.
Приложение:
- определение о возвращении искового заявления;
- копия искового заявления;
- приложения к исковому заявлению;
- оригинал квитанции об оплате госпошлины.
Судья фио
РОССИЙСКАЯ ФЕДЕРАЦИЯ
Мещанский
районный суд
тел. телефон -74
М - 5087/2024
ФИО
Мещанский районный суд адрес направляет в Ваш адрес определение о возвращении искового заявления от 17.04.2024 года.
Приложение:
- определение о возвращении искового заявления;
- копия искового заявления;
- приложения к исковому заявлению;
- оригинал квитанции об оплате госпошлины.
Судья фио"
d_012d59baeb,"Москва
Судья Мещанского районного суда города Москвы ФИО, изучив исковое заявление ФИО к АО «НПФ Будущее» о восстановлении пропущенного срока для обращения правопреемника с заявлением о выплате средств пенсионных накоплений, учтенных на пенсионном счете накопительной пенсии умершего застрахованного лица,

УСТАНОВИЛ:
В Мещанский районный суд города Москвы поступило исковое заявление ФИО к АО «НПФ Будущее» о восстановлении пропущенного срока для обращения правопреемника с заявлением о выплате средств пенсионных накоплений, учтенных на пенсионном счете накопительной пенсии умершего застрахованного лица.
В силу положений ст. 132 ГПК РФ к исковому заявлению, в числе прочего, прилагается документ, подтверждающий уплату государственной пошлины в установленных порядке и размере или право на получение льготы по уплате государственной пошлины, либо ходатайство о предоставлении отсрочки, рассрочки, об уменьшении размера государственной пошлины или об освобождении от уплаты государственной пошлины; уведомление о вручении или иные документы, подтверждающие направление другим лицам, участвующим в деле, копий искового заявления и приложенных к нему документов, которые у других лиц, участвующих в деле, отсутствуют, в том числе в случае подачи в суд искового заявления и приложенных к нему документов в электронном виде.
Ознакомившись с иском, суд считает, что поданное заявление не соответствует указанным требованиям.
08.09.2024 вступили в силу положения Федерального закона от 08.08.2024 № 259-ФЗ «О внесении изменений в части первую и вторую Налогового кодекса Российской Федерации и отдельные законодательные акты Российской Федерации о налогах и сборах».
Изменения внесены в статью 333.19 НК РФ, устанавливающую размеры государственной пошлины по делам, рассматриваемым Верховным Судом Российской Федерации, судами общей юрисдикции, мировыми судьями, а также в статью 333.36 НК РФ, устанавливающую льготы при обращении в Верховный Суд Российской Федерации, суды общей юрисдикции, к мировым судьям.
Новый порядок исчисления государственной пошлины распространяется на все заявления, поданные после дня вступления в силу положений указанного Федерального закона
На основании подп. 3 п. 1 ст. 333.19 НК РФ по делам, рассматриваемым Верховным Судом Российской Федерации в соответствии с гражданским процессуальным законодательством Российской Федерации и законодательством об административном судопроизводстве, судами общей юрисдикции, мировыми судьями, государственная пошлина уплачивается в следующих размерах: при подаче искового заявления имущественного характера, не подлежащего оценке, искового заявления неимущественного характера: для физических лиц - 3000 рублей; для организаций - 20 000 рублей.
В данном случае отсутствуют сведения об оплате государственной пошлины в установленном размере.
Более того, к исковому заявлению не приложены сведения о направлении копии искового заявления и иных требуемых документов в юридический адрес ответчика с приложением описи вложения и почтового идентификатора.
Согласно ст. 136 ГПК РФ судья, установив, что исковое заявление подано в суд без соблюдения требований, установленных в статьях 131 и 132 настоящего кодекса, выносит определение об оставлении заявления без движения, о чем извещает лицо, подавшее заявление, и предоставляет ему разумный срок для исправления недостатков.
На основании изложенного, руководствуясь ст. 136 ГПК РФ, суд

ОПРЕДЕЛИЛ:
Исковое заявление ФИО к АО «НПФ Будущее» о восстановлении пропущенного срока для обращения правопреемника с заявлением о выплате средств пенсионных накоплений, учтенных на пенсионном счете накопительной пенсии умершего застрахованного лица – оставить без движения, предложив истцу устранить указанные в определении недостатки в срок до 18 апреля 2025 года.
Разъяснить заявителю, что в случае, если недостатки не будут устранены в установленный срок, заявление будет считаться неподанным и возвращено со всеми приложенными к нему документами.
Судья ФИО"
d_0157394c36,"Судья Мещанского районного суда адрес фио, изучив исковое заявление ФИО к адрес ""Достойное Будущее"" о восстановлении срока для обращения правопреемника по договору (заявлению) с заявлением о выплате средств пенсионных накоплений,

УСТАНОВИЛ:
В Мещанский районный суд адрес поступило исковое заявление ФИО к адрес ""Достойное Будущее"" о восстановлении срока для обращения правопреемника по договору (заявлению) с заявлением о выплате средств пенсионных накоплений.
Указанное исковое заявление определением от 01.08.2023 года оставлено без движения, по мотивам, приведенным в данном определении, истцу предложено исправить недостатки в срок до 01.09.2023 года.
Ввиду того, что истец не устранил недостатки, указанные в определении судьи об оставлении иска без движения, исковое заявление подлежит возвращению на основании п. 2 ст. 136 ГПК РФ.
На основании изложенного, руководствуясь ст. ст. 135, 136, 224-225 ГПК РФ, суд

ОПРЕДЕЛИЛ:
Возвратить исковое заявление ФИО к адрес ""Достойное Будущее"" о восстановлении срока для обращения правопреемника по договору (заявлению) с заявлением о выплате средств пенсионных накоплений.
Возвращение искового заявления не препятствует повторному обращению истца в суд с иском к тому же ответчику, о том же предмете и по тем же основаниям.
На определение может быть подана частная жалоба в Московский городской суд через Мещанский районный суд адрес в течение пятнадцати дней со дня вынесения определения.
Судья фио
Мещанский
районный суд
тел./ факс (495) 680-24-22
№ М-10131/2023
ФИО Направляется копия определения суда по результатам рассмотрения искового заявления.
Судья фио
Мещанский
районный суд
тел./ факс (495) 680-24-22
№ М-10131/2023
ФИО Направляется копия определения суда по результатам рассмотрения искового заявления.
Судья фио"
d_0216234592,"Судья 1 инстанции ФИО
Гражданское дело 1 инстанция № 2-8146/2024
Дело № 33-24198/2025
АПЕЛЛЯЦИОННОЕ ОПРЕДЕЛЕНИЕ
28 августа 2025 года город Москва
Судебная коллегия по гражданским делам Московского городского суда в составе председательствующего судьи ФИО,
и судей ФИО, ФИО
при помощнике судьи ФИО,
рассмотрев в открытом судебном заседании по докладу судьи ФИО, гражданское дело по апелляционной жалобе ФИО на решение Мещанского районного суда города Москвы от 17 сентября 2024 года, которым постановлено:
ФИО в удовлетворении иска к АО «НПФ «Будущее» о признании незаконным решение, обязании назначить накопительную пенсию, взыскании процентов за пользование чужими денежными средствами, судебных расходов – отказать;

УСТАНОВИЛА:
ФИО обратилась в суд с иском к АО «НПФ «Будущее» о признании незаконным решения, обязании назначить накопительную пенсию, взыскании процентов за пользование чужими денежными средствами за период с 26.07.2023 по 29.01.2024 в размере сумма, судебных расходов по оплате юридических услуг в размере сумма, по уплате государственной пошлины в размере сумма
В обоснование заявленных требований истец указал, что он обратился к ответчику с заявлением о назначении накопительной пенсии, в связи с тем, что имел необходимый страховой стаж работы и право для назначения накопительной пенсии, что подтвердило Отделение Фонда пенсионного и социального страхования Российской Федерации по Архангельской области и НАО. Вместе с тем, ответчик отказал истцу в назначении накопительной пенсии. С данным решением истец не согласен, что и послужило поводом для обращения истца в суд с данным исковым заявлением.
Истец в судебное заседание суда первой инстанции не явился, о месте и времени рассмотрения дела извещался надлежащим образом, просил о рассмотрении дела в его отсутствие. Представитель ответчика в судебное заседание не явился, о месте и времени рассмотрения дела извещался надлежащим образом, представил письменные возражения на исковое заявление.
Судом постановлено приведенное выше решение, об отмене которого, по доводам апелляционной жалобы просит истец.
В соответствии со ст. 167 Гражданского процессуального кодекса Российской Федерации, полагая возможным рассмотрение дела в отсутствие истца, изучив материалы дела, проверив законность и обоснованность постановленного по делу решения, выслушав объяснения представителя ответчика, возражавшего против доводов апелляционной жалобы, обсудив доводы жалобы, судебная коллегия приходит к следующим выводам.
Согласно ч. 1 ст. 330 Гражданского процессуального кодекса Российской Федерации основаниями для отмены или изменения решения суда в апелляционном порядке являются: неправильное определение обстоятельств, имеющих значение для дела; недоказанность установленных судом первой инстанции обстоятельств, имеющих значение для дела; несоответствие выводов суда первой инстанции, изложенных в решении суда, обстоятельствам дела; нарушение или неправильное применение норм материального права или норм процессуального права.
Такие основания для отмены обжалуемого судебного постановления по доводам апелляционной жалобы истца, исходя из изученных материалов дела, имеются.
Основания приобретения и порядок реализации права застрахованных лиц на выплаты за счет средств пенсионных накоплений регулируются Федеральным законом от 30 ноября 2011 г. N 360-ФЗ ""О порядке финансирования выплат за счет средств пенсионных накоплений"" (далее также Федеральный закон от 30 ноября 2011 г. N 360-ФЗ) и Федеральным законом от 28 декабря 2013 г. N 424-ФЗ ""О накопительной пенсии"" (далее также Федеральный закон от 28 декабря 2013 г. N 424-ФЗ, Федеральный закон ""О накопительной пенсии"").
Согласно ст. 6 Федерального закона от 28.12.2013 N 424-ФЗ ""О накопительной пенсии"" накопительная пенсия назначается застрахованным лицам, имеющим право на страховую пенсию по старости, в том числе досрочно, в соответствии с Федеральным законом ""О страховых пенсиях"", при наличии средств пенсионных накоплений, учтенных в специальной части индивидуального лицевого счета застрахованного лица или на пенсионном счете накопительной пенсии застрахованного лица, если размер накопительной пенсии составляет более 5 процентов по отношению к сумме размера страховой пенсии по старости, в том числе с учетом фиксированной выплаты к страховой пенсии по старости, и размера накопительной пенсии, рассчитанной по состоянию на день назначения накопительной пенсии. Если размер накопительной пенсии составляет 5 и менее процентов по отношению к сумме размера страховой пенсии по старости, в том числе с учетом фиксированной выплаты к страховой пенсии по старости, и размера накопительной пенсии, рассчитанной по состоянию на день назначения накопительной пенсии, застрахованные лица, указанные в ст. 4 Федерального закона от 30.11.2011 N 360-ФЗ, имеют право на получение указанных средств в виде единовременной выплаты.
Таким образом, положения ч. 1 ст. 4 Федерального закона от 30.11.2011 N 360-ФЗ устанавливают категории лиц, имеющих право на получение единовременной выплаты средств пенсионных накоплений, при этом для лиц, указанных в пп. 1 данной нормы, условием получения такой выплаты является достижение лицом возраста, указанного в ч. 1 ст. 8 Федерального закона от 28.12.2013 N 400-ФЗ (при соблюдении иных указанный в данной норме условий), а для лиц, указанных в пп. 2 данной нормы, - возникновение права на установление страховой пенсии по старости (в том числе досрочно).
Из материалов гражданского дела следует, что 27.12.2006 между АО «НПФ «Будущее» и ФИО заключен договор об обязательном пенсионном страховании №....
26 июня 2023 года истец обратился к ответчику с заявлением застрахованного лица о назначении накопительной пенсии.
13 октября 2023 года ответчиком принято решение об отказе в назначении истцу накопительной пенсии, поскольку на дату подачи заявления о выплате средств пенсионных накоплений отсутствуют условия для назначения выплат за счет средств пенсионных накоплений, учтенных на пенсионном счете накопительной пенсии (не соблюдение условий, дающих право на назначение накопительной пенсии и иных выплат за счет средств пенсионных накоплений (ст.4 ФЗ от 30.11.2011 № 360-ФЗ «О порядке финансирования выплат за счет средств пенсионных накоплений»; ст. 6 ФЗ от 28.12.2013 № 424-ФЗ «О накопительной пенсии»).
Из письменных объяснений АО «НПФ «Будущее» следует, что им в электронной форме с использованием Единой системы межведомственного электронного взаимодействия в Социальный Фонд России направлялся запрос о предоставлении информации для назначения истцу накопительной пенсии, а также иных выплат за счет средств пенсионный накоплений. Согласно полученным ответам, у истца отсутствуют условия для назначения выплат за счет средств пенсионных накоплений, учтенных на пенсионном счете накопительной пенсии. Копия ответа Социального Фонда России приложена представителем ответчика к письменным возражениям.
Разрешая спор, суд пришел к выводу, что, поскольку из ответа Социального Фонда России следовало, что у истца отсутствуют условия для назначения выплат за счет средств пенсионных накоплений, учтенных на пенсионном счете накопительной пенсии, у ответчика не имелось правовых оснований для назначения истцу единовременной выплаты. В этой связи суд пришел к выводу об отказе в удовлетворении требований истца о признании незаконным решения, обязании назначить накопительную пенсию.
Также суд не нашел оснований для удовлетворения требований истца о взыскании с ответчика процентов за пользование чужими денежными средствами, поскольку данные требования являются производными от первоначальных требований, в удовлетворении которых судом отказано.
Судебная коллегия не может согласиться с указанными выводами суда первой инстанции, поскольку оно основано на несоответствии выводов суда первой инстанции, изложенных в решении суда, обстоятельствам дела, в связи с чем, оно подлежит отмене, с принятием нового решения об удовлетворении требований истца в части.
Как указывал истец на 28 июня 2023 г. он имел требуемую законом продолжительность страхового стажа и право для назначения накопительной пенсии при наличии условий, дающих право на досрочное назначение страховой пенсии по старости в соответствии с п. 6 ч. 1 ст. 32 ФЗ №400-ФЗ «О страховых пенсиях». Данное право у него возникло 30 мая 2023 г., что подтверждается информацией предоставленной Отделением фонда пенсионного и социального страхования по Архангельской области и НАО от 01.06.2023 г. №1009345/23.
Согласно статье 6 Федерального закона от 28 декабря 2013 г. № 424-ФЗ «О накопительной пенсии» право на накопительную пенсию имеют застрахованные лица: мужчины, достигшие возраста 60 лет, и женщины, достигшие возраста 55 лет, при соблюдении условий для назначения страховой пенсии по старости, установленных Федеральным законом от 28 декабря 2013 г. № 400-ФЗ «О страховых пенсиях» (наличие необходимого страхового стажа и установленной величины индивидуального пенсионного коэффициента).
Одним из условий назначения накопительной пенсии ранее достижения пенсионного возраста (60 лет для мужчин) является наличие у застрахованного лица права на досрочное назначение страховой пенсии по старости в соответствии со статьями 30-32 Федерального закона № 400-ФЗ (наличие необходимого страхового стажа, стажа на соответствующих видах работ и установленной величины индивидуального пенсионного коэффициента).
Согласно пункту 6 части 1 статьи 32 Федерального закона № 400-ФЗ право на назначение страховой пенсии по старости по состоянию на 31 декабря 2018 года возникает у мужчин по достижении возраста 55 лет при наличии не менее 25 лет страхового стажа, не менее 15 календарных лет в районах Крайнего Севера либо не менее 20 календарных лет в приравненных к ним местностях, и установленной величины индивидуального пенсионного коэффициента.
Статьей 16 Федерального закона № 27-ФЗ «Об индивидуальном (персонифицированном) умете в системах обязательного пенсионного страхования и обязательного социального страхования» предусмотрена обязанность органов СФР предоставлять НПФ по их запросам информацию, необходимую для назначения накопительной пенсии, а также иных выплат за счет средств пенсионных накоплений. Перечень необходимой информации, а также порядок и сроки ее предоставления устанавливаются уполномоченным Правительством Российской Федерации федеральным органом исполнительной власти.
Правила и сроки предоставления территориальными органами СФР информации, необходимой НПФ для назначения накопительной пенсии и иных выплат за счет средств пенсионных накоплений, а также перечень указанной информации определены Порядком предоставления Фондом пенсионного и социального страхования Российской Федерации в НПФ информации, необходимой НПФ для назначения накопительной пенсии, а также иных выплат за счет средств пенсионных накоплений, утвержденным приказом Минтруда России от 30 мая 2023 г. № 479н.
Согласно положениям пунктов 3 и 4 Порядка №479н информация по запросу НПФ, направленному в СФР, предоставляется в электронном виде в соответствии с порядком, определяемым согласно пункту 7 статьи 36.4 Федерального закона № 75-ФЗ от 07.05.1998 г. «О негосударственных пенсионных фондах», на основании сведений, полученных из информационной системы СФР, без истребования документов у застрахованного лица в срок, не превышающий 5 рабочих дней со дня поступления запроса.
Пунктом 7 статьи 36.4 Федерального закона № 75-ФЗ предусмотрено осуществление обмена информацией между НПФ и СФР в электронной форме с использованием системы межведомственного электронного взаимодействия.
В целях проверки доводов апелляционной жалобы истца, судебной коллегией были направлены запросы в ОСФР по Архангельской области и Социальный фонд России.
Как следует из ответа Социального фонда России, в целом СФР в НПФ в соответствии с вышеизложенным порядком взаимодействия (посредством СМЭВ) предоставляется актуальная информация, необходимая для осуществления гражданам выплат за счет средств пенсионных накоплений. Вместе с тем, в отдельных случаях, в отношении граждан, право у которых возникает ранее достижения общеустановленного возраста, информация, представленная СФР в НПФ по СМЭВ, требует уточнения.
Такое уточнение информации для назначения выплат за счет средств пенсионных накоплений может осуществляться через взаимодействие НПФ и отделений СФР в рамках заключенных соглашений об информационном взаимодействии в формате «запрос-ответ», а при необходимости запрос НПФ может быть направлен в СФР на бумажном носителе.
ФИО относится к категории лиц, у которых имеются условия для назначения выплат за счет средств пенсионных накоплений, поскольку 26.10.2022 он достиг возраста 55 лет и у него выполнены условия, дающие право на досрочное назначение страховой пенсии по старости (наличие необходимого страхового стажа, стажа на соответствующих видах работ и установленной величины ИПК) по вышеуказанным основаниям.
Как следует из ответа ОСФР по Архангельской области у ФИО, паспортные данные, СНИЛС ..., имеются условия для назначения накопительной пенсии, предусмотренные частью 2 статьи 6 Федерального закона от 28 декабря 2013 г. № 424-ФЗ ""О накопительной пенсии"" в отношении достижения возраста или соблюдения срока, определяемых в соответствии Федеральным законом от 28 декабря 2013 г. № 400-ФЗ «О страховых пенсиях» по состоянию на 31 декабря 2018 года, а также соблюдения условий, дающих право на досрочное назначение страховой пенсии по старости в соответствии с Федеральным законом № 400-ФЗ в части наличия необходимого страхового стажа и (или) стажа на соответствующих видах работ и установленной величины индивидуального пенсионного коэффициента (в отношении застрахованных лиц, указанных в части 1 статьи 30, статье 31, части 1 статьи 32, части 2 статьи 33 Федерального закона № 400-ФЗ) в соответствии с п.6 ч.1 ст.32 Федерального закона № 400-ФЗ с 26.10.2022 года.
Выплаты за счет средств пенсионных накоплений не производились, т.к. страховщиком ФИО является АО НПФ «Будущее». Страховая пенсия на 04.08.2025 не назначена.
В АО НПФ «Будущее» была направлена информация для назначения накопительной пенсии и иных выплат за счет средств пенсионных накоплений 01.06.2023 № 109345/23, где был указан размер страховой пенсии по старости (в том числе с учетом фиксированной выплаты к страховой пенсии по старости и повышенной фиксированной выплаты к страховой пенсии), исчисленный в соответствии с Федеральным законом от 28 декабря 2013 г. № 400-ФЗ «О страховых пенсиях», рассчитанный на дату назначения накопительной пенсии (30.05.2023, когда было обращение ФИО в Отделение СФР по Архангельской области и НАО), в размере сумма
Между тем, ответчиком запрос в ОСФР по Архангельской области для уточнения информации для назначения выплат ФИО за счет средств пенсионных накоплений, не направлялся.
В этой связи, с учетом, представленных ответов на запросы, судебная коллегия приходит выводу о том, что решение НПФ «Будущее» об отказе в назначении накопительной пенсии является незаконным.
При таких обстоятельствах требование истца об обязании ответчика назначить накопительную пенсию с 26 июня 2023 г. подлежит удовлетворению.
Отказывая в удовлетворении требований истца в части взыскания процентов за пользование чужими денежными средствами, судебная коллегия исходит из того, что отношения по назначению и выплаты накопительной пенсии в рамках специального правового регулирования не носят гражданско-правового характера и не относятся к денежным обязательствам по смыслу, придаваемому этим обязательствам нормами ст. 395 Гражданского кодекса Российской Федерации, в связи с чем взыскание с ответчика процентов на основании ст. 395 Гражданского кодекса Российской Федерации противоречит нормативным положениям, подлежащим применению к спорным отношениям.
Руководствуясь ст. ст. 98, 100 ГПК РФ, судебная коллегия приходит к выводу о взыскании с ответчика в пользу истца судебных расходов по оплате госпошлины в размере сумма и расходов на представителя в размере сумма, которые подтверждены документально в материалах дела.
На основании изложенного, руководствуясь ст. ст. 328 , 329 Гражданского процессуального кодекса Российской Федерации, судебная коллегия

ОПРЕДЕЛИЛА:
решение Мещанского районного суда города Москвы от 17 сентября 2024 года отменить.
Принять по делу новое решение.
Исковые требования ФИО к АО «Негосударственный пенсионный фонд «БУДУЩЕЕ» о признании незаконным решения, обязании назначить накопительную пенсию, взыскании процентов за пользование чужими денежными средствами, судебных расходов, удовлетворить частично.
Признать незаконным решение АО «Негосударственный пенсионный фонд «Будущее» от 13 октября 2023 г. №2023-18-003325 об отказе в назначении накопительной пенсии ФИО.
Обязать АО «Негосударственный пенсионный фонд «Будущее» назначить накопительную пенсию ФИО с 26 июня 2023 г.
Взыскать с АО «Негосударственный пенсионный фонд «Будущее» в пользу ФИО расходы по оплате госпошлины в размере сумма и расходы по оплате юридических услуг в размере сумма
В удовлетворении остальной части исковых требований отказать.
Мотивированное апелляционное определение составлено 17 сентября 2025года.
Председательствующий"
